City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,kabalo,-6.05,26.9167,69.98,44,6,4.68,CD,1624756265
282,mandera,3.9366,41.867,74.43,63,41,10.18,KE,1624756265
283,fortuna,40.5982,-124.1573,69.93,74,1,1.99,US,1624756265
284,kodinsk,58.6881,99.1844,55.6,70,100,10.45,RU,1624756266
285,plouzane,48.3833,-4.6167,55.58,91,90,4.61,FR,1624755844
286,yurgamysh,55.3714,64.4656,62.65,89,2,3.8,RU,1624756266
287,katobu,-4.9408,122.5276,79.5,89,84,8.21,ID,1624756266
288,saravan,39.7196,45.6483,74.05,39,98,9.35,AM,1624756267
289,alugan,12.2188,125.4808,85.46,69,95,4.63,PH,1624756267
290,kananga,-5.8958,22.4178,68.22,40,0,3.49,CD,1624756267
291,husavik,66.0449,-17.3389,50.9,65,64,4.18,IS,1624756268
292,thompson,55.7435,-97.8558,73.81,31,10,5.84,CA,1624756268
293,nyurba,63.2842,118.3319,76.28,59,82,2.33,RU,1624756269
294,souillac,-20.5167,57.5167,71.37,86,4,8.12,MU,1624756269
295,majene,-3.5403,118.9707,81.61,74,49,7.94,ID,1624756269
296,haftoni,38.7632,48.7622,78.24,37,6,3.89,AZ,1624756270
297,bereda,43.2686,-7.5406,56.57,100,100,3.69,ES,1624756270
298,pevek,69.7008,170.3133,43.14,60,100,7.63,RU,1624756270
299,durango,24.8333,-104.8333,82.49,19,11,16.37,MX,1624756128
300,port augusta,-32.5,137.7667,57.7,56,0,6.85,AU,1624756271
301,puerto del rosario,28.5004,-13.8627,69.55,78,9,10.36,ES,1624756271
302,suksun,57.1431,57.3949,61.0,91,13,3.67,RU,1624756272
303,abengourou,6.7297,-3.4964,71.94,95,100,1.63,CI,1624756272
304,luau,-10.7073,22.2247,57.52,51,5,4.43,AO,1624756272
305,coromandel,-18.4733,-47.2003,59.25,53,4,4.72,BR,1624756272
306,mehamn,71.0357,27.8492,46.35,93,75,0.0,NO,1624756273
307,adtuyon,7.8144,124.8557,76.87,78,89,1.05,PH,1624756273
308,mayo,38.8876,-76.5119,82.08,86,1,8.01,US,1624755996
309,pocinhos,-7.0767,-36.0611,63.57,84,76,10.04,BR,1624756274
310,caete,-19.88,-43.6697,61.83,88,2,2.19,BR,1624756274
311,lagoa,39.05,-27.9833,66.88,76,2,10.27,PT,1624756274
312,srednekolymsk,67.45,153.6833,82.83,23,84,4.7,RU,1624756275
313,maniitsoq,65.4167,-52.9,42.49,93,100,5.55,GL,1624756275
314,sao filipe,14.8961,-24.4956,75.85,85,23,7.47,CV,1624756275
315,andenes,69.3143,16.1194,48.18,81,90,11.5,NO,1624755790
316,laguna,38.421,-121.4238,104.92,33,1,5.99,US,1624756276
317,thinadhoo,0.5333,72.9333,81.9,74,93,8.93,MV,1624756276
318,seymchan,62.8833,152.4333,78.33,27,100,3.38,RU,1624755961
319,deniliquin,-35.5333,144.9667,48.99,70,52,5.82,AU,1624756277
320,fukue,32.6881,128.8419,71.4,89,100,7.05,JP,1624756277
321,balkhash,46.844,74.9804,62.28,51,0,11.43,KZ,1624756277
322,luderitz,-26.6481,15.1594,56.8,44,0,4.36,NA,1624756278
323,brownwood,31.7093,-98.9912,92.52,45,9,16.87,US,1624756244
324,alofi,-19.0595,-169.9187,75.07,70,8,27.16,NU,1624756278
